Name,Kingdom,Locations,Update Dates
Grape,plantae,"44.404047, -81.480095,43.886647, -81.313478,43.822025, -80.012225,43.636453, -81.477506,43.691581, -81.586450,44.304611, -81.596481,44.245650, -81.218711,43.871556, -78.788436,43.871703, -78.789764,43.873119, -78.792778,43.873956, -78.791108,43.874233, -78.787894,43.800536, -79.107964,43.827550, -78.994592,43.851908, -78.965936,43.850319, -79.089386,43.809403, -79.163497,43.937500, -79.226333,44.121558, -78.944947,43.412319, -79.765542,43.980588, -78.641063,43.903411, -77.282647,43.901741, -77.246803,44.082302, -79.454822","2022:05:22 14:37:40,2022:07:13 20:15:16,2022:07:31 13:48:29,2022:08:09 16:40:18,2022:08:27 14:19:04,2022:09:11 13:39:31,2023:03:11 15:34:13,2023:05:13 13:59:34,2023:05:13 14:19:45,2023:05:13 14:56:28,2023:05:13 15:01:29,2023:05:13 15:08:03,2023:05:28 13:14:14,2023:05:30 18:59:26,2023:06:10 18:17:17,2023:06:26 20:45:49,2023:06:27 19:54:14,2024:02:10 15:48:30,2024:02:25 14:03:43,2024:03:31 13:39:31,2024:05:07 10:12:46,2024:05:12 15:17:29,2024:05:12 16:14:53,2024:05:14 12:55:30"
Grape-hyacinth,plantae,"43.857221, -79.203099",2024:04:29 13:04:55
Greater Bird's-foot-trefoil,plantae,"44.004742, -79.095215",2024:05:08 14:57:09
Greater Bladder Sedge,plantae,"44.501756, -76.551011",2023:05:21 14:34:39
Greater Celandine,plantae,"43.850290, -78.899467,43.827531, -78.992308,43.811928, -79.149972,43.870046, -79.132251,43.857627, -79.202585,44.079731, -79.310600,44.079731, -79.310600,43.978322, -78.644568,44.080048, -79.455269,44.082088, -79.455742","2023:04:07 12:00:35,2023:05:30 19:09:20,2023:12:03 16:09:39,2024:04:24 14:50:07,2024:04:29 12:15:58,2024:05:06 17:46:02,2024:05:06 17:46:08,2024:05:07 10:01:12,2024:05:14 11:55:17,2024:05:14 12:00:07"
Grey poplar,plantae,"43.902634, -77.271057",2024:05:12 15:59:40
Ground Elder,plantae,"43.894848, -79.060905,43.894848, -79.060905,43.894768, -79.060928,43.894768, -79.060928","2024:05:01 14:04:56,2024:05:01 14:05:13,2024:05:01 14:06:19,2024:05:01 14:06:33"
Ground ivy,plantae,"44.242972, -81.219794,43.795526, -79.116722,43.800076, -79.112887,43.933365, -78.986592,43.933365, -78.986592,43.857267, -79.202971,43.870569, -79.132812,43.991764, -79.202850,44.009564, -78.780358,43.967323, -78.628488,44.079746, -79.454475,44.080242, -79.455177","2023:05:13 15:14:59,2024:04:24 13:23:24,2024:04:24 14:19:28,2024:04:28 17:39:23,2024:04:28 18:28:46,2024:04:29 11:31:53,2024:04:30 12:57:03,2024:05:03 14:11:22,2024:05:04 15:12:02,2024:05:07 11:34:03,2024:05:14 11:45:35,2024:05:14 11:54:26"
Gypsywort,plantae,"43.872544, -78.793739,43.872506, -78.795319","2023:08:31 18:59:54,2023:08:31 19:07:14"
Hairy Solomon's-seal,plantae,"44.436356, -79.761811,44.675103, -81.246278,44.500617, -76.549019,44.511928, -76.039878,43.811890, -79.153757,43.811890, -79.153757,44.084827, -79.358931,43.871832, -79.136245,44.035416, -79.106873,44.035557, -79.106499,43.979637, -78.646042,44.077964, -78.500778,44.060329, -79.326210,44.059597, -79.327240","2022:09:05 17:27:45,2022:09:17 16:34:20,2023:05:21 14:59:24,2023:05:22 12:30:25,2024:04:28 14:05:07,2024:04:28 14:06:44,2024:04:30 10:32:12,2024:04:30 12:21:38,2024:05:02 13:26:59,2024:05:02 13:28:15,2024:05:07 09:53:55,2024:05:11 16:37:54,2024:05:14 13:38:39,2024:05:14 13:42:01"
Hawthorn,plantae,"43.925225, -79.227883",2024:02:10 15:06:41
Hawthorn (douglasii),plantae,"43.852482, -78.879351",2023:06:30 15:46:36
Hawthorn (rhipidophylla),plantae,"43.704283, -80.710411",2022:08:31 14:46:49
Heart-leaf foamflower,plantae,"44.059570, -79.327095,44.059566, -79.326782","2024:05:14 13:36:08,2024:05:14 13:36:22"
Heart-leaf willow,plantae,"43.814254, -79.156148,43.814254, -79.156148,43.894131, -79.061241,44.003956, -78.778603,44.005005, -79.095329","2024:04:24 15:11:50,2024:04:24 15:38:31,2024:05:01 14:13:08,2024:05:04 14:37:15,2024:05:08 14:54:27"
Hedge Bedstraw,plantae,"43.799426, -79.108600,43.799282, -79.109974,43.933458, -78.986893,44.006083, -78.781464,44.009064, -79.095596,44.005852, -79.101242","2024:04:24 13:34:46,2024:04:24 14:00:46,2024:04:28 17:35:45,2024:05:04 14:43:49,2024:05:08 15:50:38,2024:05:08 16:03:46"
Henbit deadnettle,plantae,"43.899265, -79.061661",2024:05:01 13:34:27
Herb-Robert,plantae,"43.857221, -79.203099,44.084827, -79.358931","2024:04:29 12:45:25,2024:04:30 09:55:15"
Highbush Cranberry,plantae,"43.827409, -81.458055,43.704247, -80.710336,43.719233, -81.697242,44.121994, -78.948564,43.799041, -79.112463,43.991740, -79.201767","2022:08:14 14:31:50,2022:08:31 14:45:47,2022:11:13 14:43:04,2024:02:25 14:10:07,2024:04:06 14:19:45,2024:05:03 14:20:18"
Himalayan balsam,plantae,"43.891179, -81.315136,43.795526, -79.116722","2022:07:17 11:53:33,2024:04:24 13:25:05"
Honey-locust,plantae,"43.912669, -77.287072",2024:05:12 17:26:19
Howell's pussytoes,plantae,"43.980663, -78.645638,44.005131, -79.098053","2024:05:07 09:51:13,2024:05:08 14:49:17"
Hybrid violet,plantae,"43.814176, -79.156064",2024:04:24 15:07:36
Indian Cucumber,plantae,"43.833794, -81.456939,44.672747, -81.250831,44.505822, -76.042917,44.533203, -76.041772,44.511464, -76.041611,46.591906, -82.690313,46.723903, -79.811083","2022:09:05 10:51:59,2022:09:17 16:03:21,2023:05:22 11:36:52,2023:05:22 14:50:39,2023:05:22 15:52:36,2023:08:22 14:25:43,2023:08:24 17:23:09 "
Indian pipe,plantae,"46.588436, -82.680969,46.588378, -82.681008,46.588375, -82.681008,45.780431, -82.702400,44.079728, -78.500778,44.079669, -78.500847,44.078575, -78.503661","2023:08:22 15:24:48,2023:08:22 15:24:56,2023:08:22 15:25:01,2023:08:23 16:18:22,2024:05:11 16:31:39,2024:05:11 16:31:56,2024:05:11 17:02:09"
Indianroot,plantae,"44.300914, -78.269128,44.300939, -78.269036,44.300944, -78.269011,44.300953, -78.269011","2023:09:03 15:26:33,2023:09:03 15:26:42,2023:09:03 15:26:55,2023:09:03 15:27:01"
Intermediate woodfern,plantae,"44.085225, -79.341753,44.035183, -79.108417","2024:04:16 09:47:16,2024:05:02 13:22:47"
Jack-in-the-pulpit,plantae,"43.634443, -79.970757,43.685750, -81.583244,43.833828, -81.457625,44.436906, -79.763397,43.983190, -78.644768,43.978238, -78.643940,43.968311, -78.629257,43.973660, -78.638878,43.975518, -78.641992,44.007297, -79.091522,44.078872, -78.498450,44.078903, -78.498428,44.085045, -79.455154,44.059952, -79.327515","2022:05:21 13:57:34,2022:08:27 13:07:33,2022:09:05 10:36:09,2022:09:05 17:32:31,2024:05:07 09:41:42,2024:05:07 10:03:51,2024:05:07 11:28:52,2024:05:07 12:03:23,2024:05:07 12:10:51,2024:05:08 15:35:40,2024:05:11 16:17:24,2024:05:11 16:17:38,2024:05:14 12:44:47,2024:05:14 13:27:02"
Japanese barberry,plantae,"43.267114, -81.810244,43.758124, -81.701329,43.758358, -81.701508,44.244786, -81.218553,43.816097, -79.158372,43.813117, -79.155209,43.814176, -79.156064,43.976742, -78.635071,43.972706, -78.637520","2022:05:08 13:16:07,2022:11:05 13:16:46,2022:11:05 13:17:09,2023:03:11 15:29:45,2023:12:10 15:08:52,2024:04:17 09:02:44,2024:04:24 15:34:52,2024:05:07 10:35:07,2024:05:07 10:57:01"
Japanese knotweed,plantae,"43.795021, -79.117400,43.851001, -78.868989,43.794901, -79.117448","2023:04:26 13:58:27,2023:04:29 15:49:05,2024:04:06 13:28:41"
Jewelweed,plantae,"43.892708, -81.312572,43.892708, -81.312572,43.687978, -81.585914,43.870981, -78.789414","2022:07:26 08:26:28,2022:07:26 08:28:37,2022:08:27 13:31:17,2023:05:13 14:09:36"
Juneberry,plantae,"45.996249, -81.415578,43.827494, -78.995064,43.809514, -79.164069,43.809558, -79.164131,43.809494, -79.164139,43.857221, -79.203099,43.903381, -77.269836","2022:07:03 13:40:12,2023:05:30 18:57:49,2023:06:27 19:35:19,2023:06:27 19:36:46,2023:06:27 19:37:18,2024:04:29 13:03:04,2024:05:12 16:04:51"
Kinnikinnick,plantae,"44.297311, -81.603792,45.790674, -82.733541","2022:09:11 13:05:44,2023:08:23 15:35:35"
"Lambs ear, Mullen",plantae,"43.993286, -79.198303",2024:05:03 14:47:39
Large-leaved Avens,plantae,"44.080799, -79.455193",2024:05:14 11:56:06
Largeleaf goldenrod,plantae,"43.896851, -79.061241",2024:05:01 13:52:52
Late horse gentian,plantae,"44.626822, -78.860900,44.626839, -78.860900,44.626842, -78.860869","2023:09:17 17:33:40,2023:09:17 17:33:43,2023:09:17 17:33:45"
Leatherwood,plantae,"44.085308, -79.343826",2024:04:16 09:42:07
Lemon balm,plantae,"43.753948, -81.699138",2022:11:05 13:29:57
Lilac,plantae,"43.908733, -77.271539",2024:05:12 18:12:51
Lily-of-the-valley,plantae,"43.809431, -79.162711,43.870647, -79.132233,43.870046, -79.132251,44.005901, -79.093666,44.005966, -79.093758,44.059452, -79.326752,44.059452, -79.326752,44.059654, -79.327965","2023:06:27 19:51:05,2023:07:01 19:58:48,2024:04:24 14:49:34,2024:05:08 15:02:56,2024:05:08 15:03:22,2024:05:14 13:34:34,2024:05:14 13:34:44,2024:05:14 13:41:09"
Little Robin,plantae,"43.992882, -79.197968",2024:05:03 14:42:56
Long-Beak Sedge,plantae,"44.507436, -76.552025,44.507119, -76.552308","2023:05:21 13:56:32,2023:05:21 13:58:56"
Long-Spur Violet,plantae,"44.005275, -79.098895,44.005275, -79.098895","2024:05:08 14:47:25,2024:05:08 14:47:32"
Long-Stalk Sedge,plantae,"44.085308, -79.343826,43.857453, -79.202076","2024:04:16 10:03:05,2024:04:29 12:40:27"
Lowbush blueberry,plantae,"45.002312, -79.519798,45.002155, -79.519905","2024:05:11 00:18:45,2024:05:11 00:19:55"
Macoun's buttercup,plantae,"44.005753, -78.778214",2024:05:04 15:47:35
Mapleleaf viburnum,plantae,"44.501872, -76.551492,44.505919, -76.549178,44.510642, -76.039153","2023:05:21 14:32:25,2023:05:21 16:17:00,2023:05:22 12:01:00"
Marginal woodfern,plantae,"43.813117, -79.155209",2024:04:17 09:41:28
Marsh Marigold,plantae,"43.989507, -79.052050,43.989507, -79.052050,43.989507, -79.052050,43.870109, -79.131924,43.992153, -79.199264,43.992153, -79.199264,44.005700, -78.778206,44.059382, -79.326970,44.059338, -79.326813","2024:04:30 08:45:20,2024:04:30 08:45:28,2024:04:30 08:45:36,2024:04:30 13:01:47,2024:05:03 15:05:16,2024:05:03 15:05:21,2024:05:04 15:48:01,2024:05:14 13:32:12,2024:05:14 13:32:18"
Marsh dandelion,plantae,"44.007869, -78.782792",2024:05:04 14:50:14
Mayapple,plantae,"43.634443, -79.970757,43.634443, -79.970757,44.036079, -78.916293,44.036079, -78.916293,43.794686, -79.117592,43.800656, -79.107856,43.800669, -79.107789,43.853158, -78.966264,43.800683, -79.107856,44.296592, -77.793075,44.296639, -77.793044,43.813117, -79.155209,43.813117, -79.155209,43.813117, -79.155209,43.813117, -79.155209,43.794622, -79.117453,43.794622, -79.117453,43.857221, -79.203099,43.871011, -79.135648,43.893963, -79.061333,43.893902, -79.061127,44.005566, -79.094582,44.005764, -79.093735,44.079586, -78.498803,43.904144, -77.265564,43.904147, -77.265542,44.084084, -79.454956","2022:05:21 13:29:43,2022:05:21 14:05:23,2023:04:07 12:01:17,2023:04:24 15:02:05,2023:05:19 11:20:54,2023:05:28 13:15:48,2023:05:28 13:35:56,2023:06:10 18:23:59,2023:06:18 15:54:28,2023:09:09 15:53:34,2023:09:09 15:53:52,2024:04:17 09:18:53,2024:04:17 09:19:34,2024:04:17 09:19:45,2024:04:17 09:20:12,2024:04:24 13:13:37,2024:04:24 13:14:35,2024:04:29 11:47:09,2024:04:30 12:14:57,2024:05:01 14:15:22,2024:05:01 14:16:06,2024:05:08 15:00:57,2024:05:08 15:08:53,2024:05:11 16:25:01,2024:05:12 18:23:04,2024:05:12 18:23:16,2024:05:14 12:39:10"
Meadow horsetail,plantae,"44.078563, -79.310140,43.972392, -78.637552,44.004955, -79.097984,43.902881, -77.268783,44.059574, -79.327522,44.059517, -79.326996","2024:05:06 17:51:34,2024:05:07 11:58:01,2024:05:08 14:50:03,2024:05:12 16:10:34,2024:05:14 13:30:44,2024:05:14 13:35:06"
Menzies's larkspur,plantae,"43.893955, -79.060852",2024:05:01 14:14:07
Mezereon,plantae,"44.002458, -78.776426,44.007131, -78.778503","2024:05:04 03:36:49,2024:05:04 15:32:20"
Mint,plantae,"43.872544, -78.793739,43.893333, -81.303925,43.893367, -81.302825,45.787003, -82.698503,44.571547, -79.330628,44.571522, -79.330636","2022:08:22 09:15:16,2022:09:01 19:23:15,2022:09:01 19:27:56,2023:08:23 16:40:45,2023:11:05 13:13:55,2023:11:05 13:14:04"
Moose maple,plantae,"44.916214, -78.059114",2023:06:03 15:38:40
Morrow’s honeysuckle,plantae,"43.809361, -79.162797,44.296056, -77.795167,43.991749, -79.201576,44.080639, -79.454567","2023:06:27 19:48:28,2023:09:09 15:47:12,2024:05:03 14:25:10,2024:05:14 12:28:45"
Mountain aster,plantae,"46.396411, -72.666428",2023:10:09 11:27:05
Mountain witchalder,plantae,"44.058666, -79.325386",2024:05:14 13:28:58
Mountain-ash,plantae,"46.589847, -82.687058",2023:08:22 14:54:29
Mullein,plantae,"43.898182, -79.060837",2024:05:01 14:53:14
Multiflora rose,plantae,"43.796183, -79.116622,43.872314, -78.791558,43.872106, -78.794700,43.800076, -79.112887,43.898243, -79.063545","2023:06:18 15:21:49,2023:06:28 19:38:32,2023:06:28 19:46:27,2024:04:24 14:18:37,2024:05:01 14:48:00"
Nannyberry,plantae,"43.883653, -81.494132,43.637075, -81.478564,43.883442, -81.494239,43.883228, -81.494011,43.827658, -78.993089,43.827550, -78.995178,43.853353, -78.964844,43.872519, -78.791503,43.852658, -78.881011,43.795526, -79.116722","2022:08:09 13:24:07,2022:08:09 16:29:50,2022:09:08 11:00:52,2022:09:08 12:09:27,2023:05:30 19:06:13,2023:05:30 19:14:17,2023:06:10 18:34:23,2023:06:28 19:36:59,2023:07:08 14:57:10,2024:04:24 13:20:41"
Narrow-leaf bittercress,plantae,"43.871832, -79.136245",2024:04:30 12:31:38
Narrow-leaf everlasting-pea,plantae,"43.869736, -79.130936,43.869717, -79.130928","2023:07:01 19:55:02,2023:07:01 19:55:08"
New England Aster,plantae,"43.742333, -80.960036",2022:09:18 14:31:17
Nipplewort,plantae,"43.857259, -79.202412,44.076989, -78.497903,44.080211, -78.501786","2024:04:29 12:06:14,2024:05:11 16:06:05,2024:05:11 17:08:25"
Nodding Mouse-Ear Chickweed,plantae,"44.501694, -76.550981",2023:05:21 14:36:40
Northern Arrow-Wood,plantae,"44.079158, -78.498833",2024:05:11 16:16:45
Northern Burdock,plantae,"44.080971, -79.455231",2024:05:14 11:56:43
Northern Starflower,plantae,"44.921750, -78.069725,44.915139, -78.058372,44.036872, -79.096925,46.017236, -80.588875,45.775811, -82.713281,46.717044, -79.813867,45.916789, -80.552278,44.084827, -79.358931,44.084827, -79.358931,44.035671, -79.105537,44.035492, -79.098320,43.979137, -78.636108,44.074875, -78.501275,44.074600, -78.499358","2023:06:03 14:59:41,2023:06:03 15:44:03,2023:06:24 17:24:12,2023:08:21 15:59:56,2023:08:23 16:14:09,2023:08:24 16:29:34,2023:08:25 12:44:51,2024:04:30 10:19:30,2024:04:30 10:29:29,2024:05:02 13:33:18,2024:05:02 14:36:06,2024:05:07 10:22:55,2024:05:11 15:47:41,2024:05:11 15:53:33"
Northern bracken fern,plantae,"43.260597, -81.825889,45.001320, -79.524254,44.078647, -78.501114,44.078281, -78.501044","2022:05:08 15:04:43,2024:05:11 00:39:27,2024:05:11 16:34:23,2024:05:11 16:35:59"
Northern evening primrose,plantae,"45.790242, -82.735619,43.988889, -77.732794","2023:08:23 14:35:35,2023:10:29 17:01:41"
Northern red oak,plantae,"44.999973, -79.492775",2024:05:11 00:31:19
Orange Hawkweed,plantae,"44.923206, -78.070778",2023:06:03 17:08:24
Orange daylily,plantae,"43.852231, -78.876053",2023:07:08 14:50:11
Oregano,plantae,"43.886080, -81.492120,43.494947, -80.526652,43.691064, -81.585983,43.760042, -81.707100","2022:08:09 12:35:16,2022:08:23 15:27:10,2022:08:27 14:22:19,2022:11:05 14:20:12"
Orpine,plantae,"44.296883, -77.801261,44.296872, -77.801256,44.576286, -79.326089","2023:09:09 15:16:55,2023:09:09 15:17:01,2023:11:05 13:46:38"
Ostrich Fern,plantae,"43.894382, -79.061096,44.036488, -79.102341,44.009400, -78.780564,43.975990, -78.633342","2024:05:01 14:10:19,2024:05:02 13:43:55,2024:05:04 15:11:04,2024:05:07 10:40:01"
Parsley-hawthorn,plantae,"43.969460, -78.629868",2024:05:07 11:12:53
Partridge berry,plantae,"43.257462, -81.836643,44.436394, -79.761353 ,44.437561, -79.757692,44.670856, -81.252006,44.246525, -81.220550,45.916242, -80.550606,46.182147, -74.559722,44.045864, -79.091064,44.035458, -79.094383,44.036190, -79.096533,44.079506, -78.498847,44.059715, -79.327042","2022:05:08 13:51:19,2022:09:05 15:40:28,2022:09:05 16:38:06,2022:09:17 15:22:23,2023:03:11 16:15:14,2023:08:25 12:56:06,2023:12:27 12:43:28,2024:02:03 14:35:37,2024:05:02 14:27:33,2024:05:02 14:31:39,2024:05:11 16:25:31,2024:05:14 13:37:05"
Peace lilly,plantae,"44.503917, -76.039694,44.504567, -76.042481","2023:05:22 11:23:42,2023:05:22 11:30:40"
Pear,plantae,"43.908875, -77.270294",2024:05:12 16:25:57
Pennsylvania sedge,plantae,"44.035608, -79.105570,44.035923, -79.105392,43.979584, -78.641434,44.005466, -79.094040,45.002087, -79.521126","2024:05:02 13:32:55,2024:05:02 13:35:35,2024:05:07 10:09:05,2024:05:08 15:05:42,2024:05:11 00:27:10"
Peppermint,plantae,"43.817408, -79.165917,43.817436, -79.165961","2023:12:10 14:13:10,2023:12:10 14:13:16"
Pickerelweed,plantae,"42.579341, -80.384408,45.921167, -80.554314","2022:08:14 14:56:42,2023:08:25 12:19:16"
Pink snowberry,plantae,"44.299031, -77.800714,44.299075, -77.800728","2023:09:09 15:21:20,2023:09:09 15:21:33"
Pipsissewa,plantae,"44.669811, -81.251381,45.915928, -80.551042,45.915756, -80.551225,46.402533, -72.661675,44.086330, -79.357719,44.035400, -79.098883,44.074744, -78.499969,44.077869, -78.500756","2022:09:17 15:45:49,2023:08:25 13:03:04,2023:08:25 13:03:14,2023:10:09 11:31:50,2024:04:30 10:00:52,2024:05:02 14:37:57,2024:05:11 15:52:31,2024:05:11 16:38:29"
Plain-leaf pussytoes,plantae,"44.506692, -76.552581,44.501994, -76.551881","2023:05:21 14:00:17,2023:05:21 14:31:21"
Poison-ivy,plantae,"43.912308, -77.280449",2024:05:12 17:01:45
Prairie smoke,plantae,"44.002350, -78.775756",2024:05:04 14:27:48
Prickly-Cucumber,plantae,"43.892760, -81.302946,43.893289, -81.305619,43.873914, -78.790961,43.873969, -78.790222","2022:08:22 09:07:39,2022:09:01 19:15:11,2023:05:13 15:02:38,2023:05:13 15:04:33"
Purple-flowering raspberry,plantae,"43.821989, -80.018883,43.853400, -78.964669,43.814544, -79.156472,43.814547, -79.156478,43.814567, -79.156769,43.814597, -79.156747,44.298633, -77.790000,44.005402, -79.099083","2022:07:31 15:58:29,2023:06:10 18:35:45,2023:06:27 20:29:47,2023:06:27 20:30:06,2023:06:27 20:31:02,2023:06:27 20:32:00,2023:09:09 16:14:15,2024:05:08 14:45:41"
Pygmy water-lily,plantae,"46.715600, -79.822564",2023:08:24 15:57:32
Quaking aspen,plantae,"45.002022, -79.521667",2024:05:11 00:29:29
Ramp,plantae,"43.880358, -81.490417,43.880433, -81.490381,43.880286, -81.490333,43.880242, -81.490425,43.857453, -79.202076","2022:09:08 11:46:23,2022:09:08 11:46:32,2022:09:08 15:37:35,2022:09:08 15:42:59,2024:04:29 12:36:17"
Red baneberry,plantae,"43.883795, -81.485602,43.851956, -79.090072,43.799381, -79.109029","2022:08:09 13:11:07,2023:06:26 20:40:30,2023:06:29 16:48:15"
Red chokeberry,plantae,"44.502261, -76.542314",2023:05:21 15:39:40
Red clover,plantae,"43.758575, -81.711311",2022:11:05 14:11:56
Red columbine,plantae,"44.049783, -80.075654,44.506000, -76.552353,43.813016, -79.155138,43.811890, -79.153757,43.811890, -79.153757,43.811890, -79.153757","2022:06:05 13:34:27,2023:05:21 13:40:25,2024:04:07 13:56:31,2024:04:28 13:33:39,2024:04:28 14:09:48,2024:04:28 14:10:44"
Red currant,plantae,"43.887873, -81.322133,43.871094, -78.787864,43.871094, -78.787919,43.871297, -78.789392,43.799678, -79.108969,43.796569, -79.114906,44.151019, -79.900153,43.992157, -79.202156,43.992157, -79.202156,44.081165, -79.312561","2022:07:17 11:45:18,2023:05:13 14:03:40,2023:05:13 14:03:58,2023:05:13 14:08:31,2023:05:19 12:27:53,2023:05:28 12:57:37,2023:10:28 14:48:10,2024:05:03 14:16:30,2024:05:03 14:16:55,2024:05:06 18:02:34"
Red elderberry,plantae,"43.634443, -79.970757,46.102094, -81.412927,44.508575, -76.550803,44.085308, -79.343826,44.084827, -79.358931,44.084827, -79.358931,44.084827, -79.358931,43.992882, -79.197968,43.994297, -79.199471,43.994358, -79.199341,44.007908, -78.782739,44.078663, -79.311066,43.983143, -78.644920,43.980564, -78.637962,43.972233, -78.637505,44.006004, -79.091209,44.006000, -79.091202,44.077931, -78.498725","2022:05:21 13:46:12,2022:07:03 11:37:30,2023:05:21 13:50:47,2024:04:16 09:34:59,2024:04:30 10:46:52,2024:04:30 10:48:15,2024:04:30 10:48:24,2024:05:03 14:42:21,2024:05:03 14:49:58,2024:05:03 14:50:13,2024:05:04 14:52:09,2024:05:06 17:53:15,2024:05:07 09:42:08,2024:05:07 10:18:23,2024:05:07 11:57:45,2024:05:08 15:20:56,2024:05:08 15:21:28,2024:05:11 16:11:30"
Red raspberry,plantae,"45.996249, -81.415578,42.703739, -80.333697,43.825747, -81.456664,43.742367, -80.959961,43.742364, -80.959992,43.742298, -80.962764,43.753948, -81.699138,44.923922, -78.071319,43.794875, -79.117850,43.901303, -79.176767,46.016936, -80.592438,46.837608, -72.762742,46.837606, -72.762733,44.047164, -79.089767,43.411219, -79.769158,45.001694, -79.523483","2022:07:03 14:45:45,2022:08:14 18:01:07,2022:08:27 11:02:29,2022:09:18 14:29:13,2022:09:18 14:30:13,2022:10:02 12:10:59,2022:11:04 15:19:46,2023:06:03 17:10:11,2023:06:18 15:33:00,2023:07:09 18:21:27,2023:08:21 15:24:40,2023:10:08 15:26:01,2023:10:08 15:26:27,2024:02:03 15:08:55,2024:03:31 14:15:18,2024:05:11 00:37:07"
Red trillium,plantae,"43.883795, -81.485602,44.036079, -78.916293,43.933365, -78.986592,43.933365, -78.986592,44.084827, -79.358931,43.896862, -79.060509,43.896862, -79.060509,44.035555, -79.106698,44.002410, -78.776468,44.009914, -78.781181,44.078773, -79.312096,43.983085, -78.645325,43.976738, -78.642782,44.076603, -78.497475,44.085064, -79.455315","2022:08:09 12:43:28,2023:04:24 14:57:40,2024:04:28 18:11:13,2024:04:28 18:13:07,2024:04:30 10:24:01,2024:05:01 13:51:02,2024:05:01 13:51:14,2024:05:02 13:27:51,2024:05:04 03:11:23,2024:05:04 15:07:08,2024:05:06 17:54:53,2024:05:07 09:32:57,2024:05:07 12:13:43,2024:05:11 16:04:37,2024:05:14 12:44:04"
Red-osier Dogwood,plantae,"43.903950, -77.281722,43.912436, -77.285033","2024:05:12 15:13:07,2024:05:12 17:34:28"
Rheumatism-root,plantae,"43.682296, -81.577821,43.682296, -81.577821","2022:08:27 13:05:59,2022:08:27 13:06:04"
Rock harlequin,plantae,"44.505753, -76.549308,44.537194, -76.039506,45.919814, -80.554886","2023:05:21 16:14:43,2023:05:22 14:34:22,2023:08:25 13:46:46"
Rugel's plantain,plantae,"43.857488, -79.202489",2024:04:29 12:31:05
Russian rock birch,plantae,"43.872646, -79.137805,43.897530, -79.061066","2024:04:30 12:39:35,2024:05:01 13:45:16"
Rydberg's poison-ivy,plantae,"44.630906, -78.873711,44.631439, -78.873208,44.046078, -79.087136,43.898094, -79.061020,44.080769, -79.313080,43.976003, -78.633798,44.077136, -78.501725,43.912292, -77.280608,43.910378, -77.276961","2023:09:17 16:38:20,2023:09:17 16:40:08,2024:02:03 14:46:09,2024:05:01 13:41:42,2024:05:06 18:00:02,2024:05:07 10:37:05,2024:05:11 16:45:35,2024:05:12 17:01:20,2024:05:12 17:55:59"
Saint John's Wort,plantae,"43.888136, -81.326146,43.888502, -81.327131,43.742732, -80.965783,43.849168, -78.900866","2022:07:17 11:50:16,2022:07:26 07:47:31,2022:08:23 11:04:12,2023:06:25 17:27:32"
Sand cherry,plantae,"43.903389, -77.282769,43.903319, -77.283456","2024:05:12 15:22:02,2024:05:12 15:36:54"
Sargent's Viburnum,plantae,"43.827500, -78.995025,43.850483, -79.089486,43.850483, -79.089486","2023:05:30 18:58:17,2023:06:26 20:27:33,2023:06:26 20:27:40"
Sassafras,plantae,"42.698592, -80.327739",2022:08:14 17:39:11
Scheuchzer's Bellflower,plantae,"45.799561, -82.729233",2023:08:23 13:58:39
Scrub Nettle,plantae,"43.909006, -77.271431",2024:05:12 16:30:21
Self-heal,plantae,"43.886637, -81.491778,43.827178, -81.459069,43.650356, -81.486725,43.719314, -81.697289,44.032119, -79.104994,43.993126, -79.198318,43.978718, -78.636108","2022:08:09 13:07:10,2022:08:27 11:53:25,2022:10:23 14:18:18,2022:11:13 14:44:28,2023:06:24 17:39:15,2024:05:03 14:46:42,2024:05:07 10:24:26"
Serrated-wintergreen,plantae,"44.035744, -79.097649",2024:05:02 14:34:31
Shagbark Hickory,plantae,"44.527906, -76.029428",2023:05:22 13:24:40
Shining willow,plantae,"43.903439, -77.282997",2024:05:12 15:22:44
Showy forsythia,plantae,"43.796225, -79.115930,43.870046, -79.132251,43.993125, -79.202063,43.993126, -79.202065,44.002656, -78.777214","2024:04:24 13:25:31,2024:04:24 14:48:18,2024:05:03 15:12:29,2024:05:03 15:12:45,2024:05:04 14:33:04"
Siberian Squill,plantae,"43.796194, -79.116824,43.796194, -79.116824,43.802927, -79.105542,43.871011, -79.135648","2023:04:26 13:53:29,2024:04:01 08:29:46,2024:04:06 13:32:06,2024:04:30 12:11:24"
Silver poplar,plantae,"43.887582, -81.326382,43.902786, -77.270006","2022:08:24 17:30:07,2024:05:12 16:03:18"
Silverweed,plantae,"43.827483, -78.993697,43.910408, -77.274108","2023:05:30 19:01:37,2024:05:12 16:43:50"
Slender toothwort,plantae,"43.902561, -77.271416",2024:05:12 15:58:35
Small flowered winter-cress,plantae,"43.872506, -78.794906,43.801808, -79.107522,43.801822, -79.107544,44.005608, -79.100258,44.004791, -79.097908,43.909028, -77.270378,43.909028, -77.270378","2023:05:13 14:39:30,2023:05:19 12:21:39,2023:05:19 12:22:31,2024:05:08 14:43:25,2024:05:08 14:50:37,2024:05:12 16:26:37,2024:05:12 16:26:41"
Small hemp-nettle,plantae,"43.743266, -80.965678",2022:07:26 07:33:54
